[0m[ INFO] [1581306572.930321376]: 0 | 0.000000,0.000000,0.200000 | 0.030000,0.000000,0.380000 | 0.030000,0.000000,0.720000 | 0.150000,0.000000,0.755000 | 0.375000,0.000000,0.755000 | 0.465000,0.000000,0.755000[0m
[0m[ INFO] [1581306592.931221392]: 1 | 0.000000,-0.000000,0.200000 | -0.025710,-0.015459,0.380000 | 0.215700,0.129696,0.570398 | 0.302992,0.182184,0.642855 | 0.422537,0.254064,0.819398 | 0.358286,0.265997,0.881281[0m
[0m[ INFO] [1581306612.931386429]: 2 | -0.000000,0.000000,0.200000 | 0.011362,0.027765,0.380000 | -0.083488,-0.204000,0.609975 | -0.126405,-0.308871,0.557199 | -0.210640,-0.514704,0.523111 | -0.233258,-0.586110,0.473215[0m
[0m[ INFO] [1581306632.931560437]: 3 | -0.000000,0.000000,0.200000 | 0.026574,0.013923,0.380000 | 0.192060,0.100625,0.664072 | 0.272099,0.142560,0.577700 | 0.371847,0.194820,0.382907 | 0.399407,0.280294,0.388800[0m
[0m[ INFO] [1581306652.931688381]: 4 | -0.000000,-0.000000,0.200000 | -0.011893,0.027542,0.380000 | -0.124682,0.288736,0.193837 | -0.174113,0.403209,0.202636 | -0.261289,0.605089,0.154996 | -0.313996,0.648411,0.096299[0m
[0m[ INFO] [1581306672.931951676]: 5 | 0.000000,-0.000000,0.200000 | 0.001702,-0.029952,0.380000 | 0.019131,-0.336763,0.234524 | 0.023381,-0.411590,0.134485 | 0.027866,-0.490552,-0.076156 | 0.059383,-0.418979,-0.120698[0m
[0m[ INFO] [1581306692.932074539]: 6 | 0.000000,-0.000000,0.200000 | 0.024700,-0.017027,0.380000 | 0.299023,-0.206134,0.312283 | 0.214436,-0.147823,0.241079 | 0.038724,-0.026694,0.169820 | -0.040340,-0.040915,0.210399[0m
[0m[ INFO] [1581306712.932209872]: 7 | 0.000000,-0.000000,0.200000 | 0.024866,0.016783,0.380000 | 0.248759,0.167902,0.173518 | 0.146627,0.098967,0.152497 | -0.038640,-0.026080,0.178277 | -0.111318,-0.077893,0.189825[0m
[0m[ INFO] [1581306732.932388219]: 8 | -0.000000,0.000000,0.200000 | -0.001374,0.029969,0.380000 | 0.013838,-0.301889,0.452384 | 0.009767,-0.213091,0.540267 | 0.000705,-0.015402,0.647328 | 0.016097,0.051980,0.704971[0m
[0m[ INFO] [1581306752.932554710]: 9 | 0.000001,-0.000001,0.200000 | 0.024929,0.016691,0.380000 | -0.128533,-0.086090,0.665457 | -0.200413,-0.134228,0.575230 | -0.362407,-0.242716,0.462920 | -0.337064,-0.182118,0.401393[0m
[0m[ INFO] [1581306772.932724730]: 10 | -0.000000,-0.000000,0.200000 | 0.013885,-0.026593,0.380000 | -0.131905,0.252607,0.508033 | -0.150545,0.288304,0.626368 | -0.155151,0.297121,0.851148 | -0.140972,0.367226,0.905776[0m
[0m[ INFO] [1581306792.932878663]: 11 | 0.000000,-0.000000,0.200000 | 0.007942,0.028929,0.380000 | -0.079093,-0.288097,0.466713 | -0.106648,-0.388466,0.397491 | -0.163499,-0.595548,0.330333 | -0.211850,-0.532735,0.372956[0m
[0m[ INFO] [1581306812.933023343]: 12 | -0.000000,-0.000000,0.200000 | 0.029410,-0.005922,0.380000 | 0.239564,-0.048237,0.643903 | 0.340485,-0.068558,0.714804 | 0.549907,-0.110725,0.785438 | 0.623101,-0.115679,0.837573[0m
[0m[ INFO] [1581306832.933195733]: 13 | -0.000000,0.000000,0.200000 | -0.010229,0.028202,0.380000 | 0.075890,-0.209242,0.607605 | 0.096831,-0.266979,0.498734 | 0.151726,-0.418333,0.341559 | 0.067270,-0.449418,0.342551[0m
[0m[ INFO] [1581306852.933352034]: 14 | -0.000000,-0.000000,0.200000 | -0.025276,0.016160,0.380000 | -0.048993,0.031323,0.718833 | -0.153483,0.098131,0.703223 | -0.327414,0.209336,0.613743 | -0.386273,0.222515,0.546946[0m
[0m[ INFO] [1581306872.933517610]: 15 | 0.000000,0.000000,0.200000 | -0.007972,0.028921,0.380000 | -0.091695,0.332646,0.507836 | -0.104219,0.378078,0.392060 | -0.110353,0.400333,0.168248 | -0.094781,0.363543,0.087600[0m
[0m[ INFO] [1581306892.933705602]: 16 | -0.000000,-0.000000,0.200000 | -0.026366,0.014311,0.380000 | 0.061360,-0.033310,0.705017 | 0.041519,-0.022540,0.827962 | -0.047224,0.025631,1.029032 | -0.051712,-0.054557,0.988415[0m
[0m[ INFO] [1581306912.933846614]: 17 | -0.000000,-0.000000,0.200000 | -0.014537,0.026243,0.380000 | -0.072952,0.131698,0.697910 | -0.015489,0.027958,0.737417 | 0.074158,-0.133889,0.865456 | 0.075201,-0.048326,0.893347[0m
[0m[ INFO] [1581306932.934016114]: 18 | 0.000000,0.000000,0.200000 | 0.028675,-0.008819,0.380000 | 0.350294,-0.107730,0.428763 | 0.381063,-0.117193,0.307979 | 0.376047,-0.115651,0.083040 | 0.364149,-0.106278,-0.005676[0m
[0m[ INFO] [1581306952.934169080]: 19 | 0.000000,-0.000000,0.200000 | -0.017505,-0.024363,0.380000 | -0.058477,-0.081388,0.712670 | 0.011345,0.015789,0.676524 | 0.142627,0.198506,0.674372 | 0.197411,0.269488,0.666613[0m
[0m[ INFO] [1581306972.934342041]: 20 | 0.000000,-0.000000,0.200000 | 0.017394,0.024443,0.380000 | -0.048701,-0.068451,0.700316 | -0.116517,-0.163758,0.656241 | -0.246579,-0.346550,0.639035 | -0.247751,-0.366425,0.726805[0m
[0m[ INFO] [1581306992.934485340]: 21 | -0.000000,-0.000001,0.200000 | -0.029069,0.007418,0.380000 | -0.352076,0.089859,0.446857 | -0.302874,0.077300,0.561078 | -0.273631,0.069833,0.784044 | -0.214382,0.087492,0.718640[0m
[0m[ INFO] [1581307012.934647044]: 22 | -0.000000,-0.000000,0.200000 | -0.013496,-0.026793,0.380000 | -0.161329,-0.320299,0.292823 | -0.188329,-0.373905,0.183177 | -0.210126,-0.417181,-0.036544 | -0.167442,-0.488766,-0.070510[0m
[0m[ INFO] [1581307032.934854549]: 23 | -0.000000,-0.000000,0.200000 | -0.022418,0.019935,0.380000 | -0.262591,0.233510,0.490919 | -0.320600,0.285096,0.588892 | -0.457740,0.407048,0.719066 | -0.430799,0.476005,0.770244[0m
[0m[ INFO] [1581307052.935049617]: 24 | -0.000000,-0.000000,0.200000 | 0.016339,-0.025160,0.380000 | 0.024164,-0.037213,0.719696 | -0.011117,0.017112,0.826603 | -0.042735,0.065797,1.043986 | -0.050778,0.128566,1.107981[0m
[0m[ INFO] [1581307072.935201164]: 25 | 0.000000,0.000000,0.200000 | -0.014752,0.026122,0.380000 | 0.151833,-0.268858,0.408914 | 0.171499,-0.303682,0.290485 | 0.234832,-0.415830,0.105995 | 0.258440,-0.452464,0.027251[0m
[0m[ INFO] [1581307092.935394060]: 26 | -0.000000,-0.000000,0.200000 | -0.005918,0.029411,0.380000 | -0.031441,0.156271,0.694412 | -0.055560,0.276162,0.668540 | -0.094665,0.470551,0.562198 | -0.032955,0.422288,0.517897[0m
[0m[ INFO] [1581307112.935554083]: 27 | -0.000000,0.000000,0.200000 | -0.024036,-0.017952,0.380000 | 0.143958,0.107522,0.647646 | 0.125603,0.093812,0.770528 | 0.044263,0.033061,0.971322 | 0.026132,-0.013150,1.046394[0m
[0m[ INFO] [1581307132.935715945]: 28 | -0.000000,-0.000000,0.200000 | 0.018583,-0.023551,0.380000 | 0.066485,-0.084259,0.711089 | 0.133516,-0.169209,0.773662 | 0.268881,-0.340759,0.827250 | 0.198687,-0.392720,0.848997[0m
[0m[ INFO] [1581307152.935850069]: 29 | 0.000001,-0.000001,0.200000 | 0.021446,0.020979,0.380000 | 0.109182,0.106814,0.697072 | 0.093411,0.091381,0.820109 | 0.110483,0.108079,1.043838 | 0.059886,0.036146,1.024716[0m
[0m[ INFO] [1581307172.936031884]: 30 | -0.000000,-0.000000,0.200000 | -0.020571,0.021837,0.380000 | -0.248633,0.263933,0.450548 | -0.272109,0.288853,0.330328 | -0.271127,0.287811,0.105332 | -0.265081,0.373170,0.077450[0m
[0m[ INFO] [1581307192.936194660]: 31 | 0.000000,-0.000000,0.200000 | -0.016590,-0.024996,0.380000 | -0.124651,-0.187809,0.658235 | -0.177327,-0.267174,0.577293 | -0.245791,-0.370327,0.389418 | -0.273994,-0.406066,0.311783[0m
[0m[ INFO] [1581307212.936349176]: 32 | 0.000000,-0.000000,0.200000 | 0.007940,0.028930,0.380000 | 0.059272,0.215987,0.659240 | 0.033007,0.120271,0.735223 | -0.002245,-0.008197,0.916547 | -0.064973,-0.071888,0.926973[0m
[0m[ INFO] [1581307232.936544471]: 33 | -0.000000,-0.000000,0.200000 | 0.016176,-0.025265,0.380000 | 0.166638,-0.260270,0.574252 | 0.140357,-0.219223,0.689357 | 0.126224,-0.197150,0.912826 | 0.138889,-0.235791,0.993115[0m
[0m[ INFO] [1581307252.936676849]: 34 | 0.000000,0.000001,0.200000 | -0.026825,0.013432,0.380000 | 0.276660,-0.138512,0.359758 | 0.246701,-0.123511,0.480183 | 0.140658,-0.070417,0.671393 | 0.171528,-0.148339,0.638603[0m
[0m[ INFO] [1581307272.936804535]: 35 | 0.000000,-0.000000,0.200000 | -0.022308,-0.020059,0.380000 | -0.256227,-0.230394,0.251001 | -0.331852,-0.298395,0.178325 | -0.435295,-0.391408,0.001483 | -0.410659,-0.306685,0.019230[0m
[0m[ INFO] [1581307292.936980677]: 36 | -0.000001,0.000000,0.200000 | -0.001270,-0.029973,0.380000 | 0.011307,0.267411,0.544331 | 0.007632,0.180571,0.634165 | -0.000630,-0.014726,0.745592 | 0.042805,-0.014165,0.666769[0m
[0m[ INFO] [1581307312.937167086]: 37 | -0.000000,-0.000000,0.200000 | -0.029440,0.005772,0.380000 | -0.362139,0.070998,0.405635 | -0.311086,0.060990,0.291975 | -0.166653,0.032674,0.121792 | -0.156797,-0.054906,0.140032[0m
[0m[ INFO] [1581307332.937312181]: 38 | 0.000000,0.000000,0.200000 | -0.023291,0.018908,0.380000 | -0.119822,0.097274,0.696450 | -0.195526,0.158732,0.618240 | -0.295739,0.240087,0.433948 | -0.335781,0.272982,0.360364[0m
[0m[ INFO] [1581307352.937480293]: 39 | 0.000000,-0.000000,0.200000 | 0.029961,0.001533,0.380000 | 0.082961,0.004244,0.715833 | -0.017971,-0.000920,0.789393 | -0.155355,-0.007950,0.967441 | -0.108917,-0.055825,1.027868[0m
[0m[ INFO] [1581307372.937632783]: 40 | 0.000000,-0.000000,0.200000 | -0.008561,-0.028753,0.380000 | -0.101437,-0.340680,0.281636 | -0.113164,-0.380066,0.399687 | -0.150408,-0.505149,0.582969 | -0.077349,-0.557033,0.591367[0m
[0m[ INFO] [1581307392.937789577]: 41 | -0.000000,0.000000,0.200000 | -0.027677,-0.011576,0.380000 | 0.285300,0.119337,0.357479 | 0.362844,0.151772,0.264960 | 0.539859,0.225815,0.147450 | 0.519304,0.273729,0.220810[0m
[0m[ INFO] [1581307412.937963217]: 42 | -0.000000,0.000000,0.200000 | 0.006536,-0.029279,0.380000 | -0.066206,0.296582,0.444214 | -0.073698,0.330147,0.324038 | -0.099841,0.447261,0.133707 | -0.026953,0.497353,0.117031[0m
[0m[ INFO] [1581307432.938118197]: 43 | 0.000000,-0.000000,0.200000 | 0.027184,-0.012689,0.380000 | -0.236227,0.110263,0.556343 | -0.157016,0.073289,0.645694 | 0.020667,-0.009648,0.756035 | 0.072674,0.042957,0.807298[0m
[0m[ INFO] [1581307452.938310769]: 44 | 0.000000,-0.000000,0.200000 | 0.027620,0.011713,0.380000 | 0.340211,0.144279,0.397683 | 0.345886,0.146686,0.272835 | 0.297763,0.126279,0.053991 | 0.296159,0.036297,0.053236[0m
[0m[ INFO] [1581307472.938488165]: 45 | -0.000000,0.000000,0.200000 | -0.020539,-0.021867,0.380000 | 0.014864,0.015826,0.716045 | 0.032923,0.035053,0.838230 | 0.021969,0.023391,1.062660 | 0.100195,-0.013651,1.037989[0m
