[0m[ INFO] [1580183320.997829681]: 1 | 0.000000,0.000000,0.000000 | 0.030000,0.030000,0.030000 | 0.030000,0.030000,0.030000 | 0.150000,0.150000,0.150000 | 0.375000,0.375000,0.375000 | 0.465000,0.465000,0.465000[0m
[0m[ INFO] [1580183330.998998125]: 2 | 0.000000,0.000000,0.000000 | 0.022505,0.022505,0.022505 | -0.231583,-0.231583,-0.231583 | -0.319834,-0.319834,-0.319834 | -0.488308,-0.488308,-0.488308 | -0.476816,-0.476816,-0.476816[0m
[0m[ INFO] [1580183340.999169623]: 3 | -0.000000,-0.000000,-0.000000 | 0.008134,0.008134,0.008134 | -0.083957,-0.083957,-0.083957 | -0.107569,-0.107569,-0.107569 | -0.160627,-0.160627,-0.160627 | -0.231990,-0.231990,-0.231990[0m
[0m[ INFO] [1580183350.999388461]: 4 | -0.000000,-0.000000,-0.000000 | -0.020876,-0.020876,-0.020876 | 0.078298,0.078298,0.078298 | -0.000562,-0.000562,-0.000562 | -0.118335,-0.118335,-0.118335 | -0.039292,-0.039292,-0.039292[0m
[0m[ INFO] [1580183360.999591687]: 5 | -0.000000,-0.000000,-0.000000 | 0.009387,0.009387,0.009387 | 0.012590,0.012590,0.012590 | -0.023497,-0.023497,-0.023497 | -0.078253,-0.078253,-0.078253 | -0.000066,-0.000066,-0.000066[0m
[0m[ INFO] [1580183370.999840271]: 6 | -0.000000,-0.000000,-0.000000 | 0.026661,0.026661,0.026661 | -0.242880,-0.242880,-0.242880 | -0.343184,-0.343184,-0.343184 | -0.492447,-0.492447,-0.492447 | -0.543757,-0.543757,-0.543757[0m
[0m[ INFO] [1580183381.000042526]: 7 | 0.000000,0.000000,0.000000 | 0.026795,0.026795,0.026795 | -0.162054,-0.162054,-0.162054 | -0.162185,-0.162185,-0.162185 | -0.106144,-0.106144,-0.106144 | -0.063311,-0.063311,-0.063311[0m
[0m[ INFO] [1580183391.000208197]: 8 | 0.000000,0.000000,0.000000 | 0.029911,0.029911,0.029911 | 0.058185,0.058185,0.058185 | 0.181880,0.181880,0.181880 | 0.403310,0.403310,0.403310 | 0.331924,0.331924,0.331924[0m
[0m[ INFO] [1580183401.000366329]: 9 | 0.000000,0.000000,0.000000 | 0.006137,0.006137,0.006137 | 0.048492,0.048492,0.048492 | 0.049718,0.049718,0.049718 | 0.038964,0.038964,0.038964 | 0.082786,0.082786,0.082786[0m
[0m[ INFO] [1580183411.000547099]: 10 | -0.000000,-0.000000,-0.000000 | 0.008426,0.008426,0.008426 | -0.086706,-0.086706,-0.086706 | -0.120661,-0.120661,-0.120661 | -0.174840,-0.174840,-0.174840 | -0.260493,-0.260493,-0.260493[0m
