[0m[ INFO] [1580483906.890397145]: 0 | 0.000000,0.000000,0.200000 | 0.030000,0.000000,0.380000 | 0.030000,0.000000,0.720000 | 0.150000,0.000000,0.755000 | 0.375000,0.000000,0.755000 | 0.465000,0.000000,0.755000[0m
[0m[ INFO] [1580483916.891425604]: 1 | 0.000000,0.000000,0.200000 | 0.027643,0.011655,0.380000 | -0.284456,-0.119935,0.350368 | -0.397671,-0.167670,0.327372 | -0.603985,-0.254659,0.349560 | -0.546562,-0.212263,0.404380[0m
[0m[ INFO] [1580483926.891602667]: 2 | 0.000000,-0.000000,0.200000 | 0.026808,-0.013466,0.380000 | -0.275859,0.138570,0.350368 | -0.317161,0.159317,0.234227 | -0.440838,0.221443,0.056831 | -0.407055,0.263658,0.128780[0m
[0m[ INFO] [1580483936.891751805]: 3 | 0.000000,0.000000,0.200000 | 0.002501,0.029896,0.380000 | -0.025739,-0.307631,0.350368 | -0.030161,-0.360493,0.463554 | -0.033048,-0.394992,0.685875 | -0.095595,-0.390911,0.621290[0m
[0m[ INFO] [1580483946.891954166]: 4 | 0.000000,0.000000,0.200000 | 0.018621,0.023521,0.380000 | -0.191616,-0.242039,0.350368 | -0.137003,-0.173054,0.439157 | -0.014854,-0.018762,0.548238 | -0.094854,-0.007714,0.508515[0m
[0m[ INFO] [1580483956.892171361]: 5 | -0.000000,0.000000,0.200000 | -0.014683,0.026161,0.380000 | 0.138210,-0.246261,0.514202 | 0.079709,-0.142025,0.550774 | -0.030401,0.054169,0.553727 | 0.016557,0.010178,0.490801[0m
[0m[ INFO] [1580483966.892299297]: 6 | -0.000000,0.000000,0.200000 | -0.002633,0.029884,0.380000 | 0.027096,-0.307515,0.350368 | 0.019373,-0.219868,0.439157 | 0.002100,-0.023838,0.548238 | 0.067510,-0.084504,0.536350[0m
[0m[ INFO] [1580483976.892523274]: 7 | 0.000000,0.000000,0.200000 | 0.025851,-0.015223,0.380000 | -0.266012,0.156643,0.350368 | -0.330778,0.194780,0.250488 | -0.486070,0.286225,0.115777 | -0.397008,0.274110,0.111177[0m
[0m[ INFO] [1580483986.892712690]: 8 | -0.000000,0.000000,0.200000 | 0.029437,-0.005787,0.380000 | 0.206156,-0.040526,0.668381 | 0.327227,-0.064325,0.688393 | 0.546334,-0.107397,0.660787 | 0.471418,-0.157239,0.662643[0m
[0m[ INFO] [1580483996.892856888]: 9 | 0.000000,-0.000000,0.200000 | -0.001626,0.029956,0.380000 | 0.002143,-0.039484,0.712812 | -0.003199,0.058956,0.635962 | -0.010331,0.190386,0.453478 | -0.050454,0.113749,0.478317[0m
[0m[ INFO] [1580484006.893033556]: 10 | 0.000000,0.000000,0.200000 | 0.004404,0.029675,0.380000 | 0.007042,0.047457,0.719524 | 0.021602,0.145566,0.643448 | 0.041132,0.277171,0.461999 | 0.097856,0.246537,0.524799[0m
[0m[ INFO] [1580484016.893182070]: 11 | 0.000000,-0.000000,0.200000 | 0.014868,-0.026057,0.380000 | -0.152994,0.268128,0.350368 | -0.163805,0.287074,0.473450 | -0.151743,0.265935,0.697130 | -0.185948,0.216337,0.630272[0m
[0m[ INFO] [1580484026.893362892]: 12 | 0.000000,-0.000000,0.200000 | 0.007357,0.029084,0.380000 | -0.075708,-0.299279,0.350368 | -0.105436,-0.416797,0.380875 | -0.153035,-0.604963,0.494687 | -0.201371,-0.544030,0.449400[0m
[0m[ INFO] [1580484036.893532106]: 13 | 0.000000,-0.000000,0.200000 | 0.007700,-0.028995,0.380000 | -0.079239,0.298364,0.350368 | -0.111248,0.418890,0.358964 | -0.165448,0.622972,0.436668 | -0.159536,0.585444,0.355079[0m
[0m[ INFO] [1580484046.893687200]: 14 | -0.000000,0.000000,0.200000 | 0.007114,-0.029144,0.380000 | 0.029927,-0.122609,0.706104 | 0.009686,-0.039681,0.797417 | -0.014379,0.058911,0.998230 | -0.040197,0.089075,1.078998[0m
[0m[ INFO] [1580484056.893818088]: 15 | 0.000000,-0.000000,0.200000 | -0.000313,-0.029998,0.380000 | 0.003221,0.308689,0.350368 | 0.002303,0.220708,0.439157 | 0.000250,0.023929,0.548238 | -0.044289,0.101705,0.556437[0m
[0m[ INFO] [1580484066.893918944]: 16 | 0.000000,-0.000000,0.200000 | -0.002235,-0.029917,0.380000 | 0.022999,0.307848,0.350368 | 0.016444,0.220107,0.439157 | 0.001783,0.023864,0.548238 | -0.002559,0.110495,0.572241[0m
[0m[ INFO] [1580484076.894092417]: 17 | -0.000000,0.000000,0.200000 | -0.002336,0.029909,0.380000 | -0.014730,0.188617,0.680430 | -0.024313,0.311331,0.658653 | -0.040018,0.512440,0.558986 | 0.027826,0.460980,0.588126[0m
[0m[ INFO] [1580484086.894295306]: 18 | 0.000000,0.000000,0.200000 | 0.022286,0.020083,0.380000 | 0.108156,0.097463,0.699748 | 0.195126,0.175835,0.743555 | 0.361813,0.326042,0.760250 | 0.392641,0.247074,0.730022[0m
[0m[ INFO] [1580484096.894452684]: 19 | 0.000000,-0.000000,0.200000 | 0.026704,-0.013671,0.380000 | -0.275746,0.141171,0.367844 | -0.384336,0.196765,0.340593 | -0.584204,0.299090,0.354989 | -0.520491,0.299416,0.291423[0m
[0m[ INFO] [1580484106.894579635]: 20 | 0.000000,-0.000000,0.200000 | 0.029089,-0.007339,0.380000 | -0.299327,0.075518,0.350368 | -0.214014,0.053994,0.439157 | -0.023203,0.005854,0.548238 | -0.050176,0.071807,0.493260[0m
[0m[ INFO] [1580484116.894728078]: 21 | -0.000000,0.000000,0.200000 | -0.021140,0.021287,0.380000 | 0.217531,-0.219043,0.350368 | 0.283210,-0.285180,0.267078 | 0.426284,-0.429249,0.170131 | 0.440235,-0.497619,0.113290[0m
[0m[ INFO] [1580484126.894889869]: 22 | 0.000000,-0.000000,0.200000 | 0.003229,-0.029826,0.380000 | -0.033231,0.306912,0.350368 | -0.042217,0.389901,0.257324 | -0.062793,0.579927,0.138615 | -0.065539,0.668331,0.121968[0m
[0m[ INFO] [1580484136.895044986]: 23 | 0.000000,0.000000,0.200000 | -0.002317,0.029910,0.380000 | 0.023843,-0.307784,0.350368 | 0.017048,-0.220061,0.439157 | 0.001848,-0.023859,0.548238 | -0.051228,-0.095994,0.539323[0m
[0m[ INFO] [1580484146.895180147]: 24 | 0.000000,-0.000000,0.200000 | 0.013907,0.026582,0.380000 | -0.143104,-0.273534,0.350368 | -0.161208,-0.308139,0.469110 | -0.164750,-0.314909,0.693980 | -0.227380,-0.313206,0.629369[0m
[0m[ INFO] [1580484156.895316307]: 25 | -0.000000,-0.000000,0.200000 | 0.015205,0.025862,0.380000 | -0.156458,-0.266121,0.350368 | -0.199984,-0.340154,0.259541 | -0.298398,-0.507546,0.145876 | -0.221317,-0.461803,0.137747[0m
[0m[ INFO] [1580484166.895459728]: 26 | 0.000000,0.000000,0.200000 | 0.016023,0.025363,0.380000 | -0.164881,-0.260986,0.350368 | -0.213736,-0.338317,0.265173 | -0.321090,-0.508245,0.164057 | -0.237344,-0.494797,0.194153[0m
[0m[ INFO] [1580484176.895624025]: 27 | -0.000000,-0.000000,0.200000 | 0.012984,-0.027045,0.380000 | -0.133612,0.278294,0.350368 | -0.148884,0.310103,0.230452 | -0.201432,0.419553,0.041020 | -0.247275,0.391985,0.113397[0m
[0m[ INFO] [1580484186.895786493]: 28 | -0.000000,-0.000000,0.200000 | 0.018982,-0.023231,0.380000 | -0.174789,0.213922,0.527685 | -0.098223,0.120215,0.559015 | 0.044073,-0.053940,0.552163 | 0.048805,0.030989,0.581569[0m
